Province,Year,Allocated Budget (Rs. In Millions),Sector/Sub-Sector,Population,Normalized
Khyber Pakhtunkhwa,2013-14,2003.95,Agriculture,27166000,7.376691453
Sindh,2013-14,13485,Education,46061687,29.2759577
Punjab,2013-14,5230,Agriculture,98223000,5.32461847
Balochistan,2013-14,10154.73,Education,,
Khyber Pakhtunkhwa,2013-14,29798.97,Education,27166000,109.6921593
Sindh,2013-14,500,Food,46061687,1.085500842
Punjab,2014-15,7110,Industries,99794000,7.124676834
Balochistan,2013-14,0,Food,,
Khyber Pakhtunkhwa,2013-14,500.23,Food,27166000,1.841393654
Sindh,2013-14,1047.24,Information Technology,46061687,2.273559803
Balochistan,2013-14,280,Information Technology,,
Khyber Pakhtunkhwa,2013-14,210.54,Information Technology,27166000,0.775005522
Sindh,2013-14,17000,Health,46061687,36.90702861
Punjab,2015-16,7330,Industries,101391000,7.22943851
Khyber Pakhtunkhwa,2013-14,10088.23,Health,27166000,37.13548553
Sindh,2013-14,435,Women's Development,46061687,0.944385732
Punjab,2007-08,6500,Health,89036000,7.300417809
Balochistan,2013-14,N.A,Women's Development,,
Sindh,2013-14,174.39,Industries,46061687,0.378592299
Punjab,2007-08,6500,Health,89036000,7.300417809
Balochistan,2013-14,26,Industries,,
Khyber Pakhtunkhwa,2013-14,4458.36,Industries,27166000,16.41152544
Balochistan,2013-14,4045.89,Health,,
Punjab,2014-15,7960,Agriculture,99794000,7.976431449
Balochistan,2013-14,521,Livestock,,
Punjab,2016-17,9227,Food,103013000,8.957121917
Khyber Pakhtunkhwa,2013-14,106,Auqaf and Religious Affairs,27166000,0.390193624
Sindh,2013-14,370,Auqaf and Religious Affairs,46061687,0.803270623
Sindh,2014-15,4476.24,Agriculture,47351414,9.453234068
Punjab,2008-09,9000,Health,90550000,9.939260077
Balochistan,2014-15,3493.31,Agriculture,10375000,33.67046747
Khyber Pakhtunkhwa,2014-15,2455.44,Agriculture,27932000,8.790777603
Sindh,2014-15,10709.2,Education,47351414,22.61643126
Punjab,2008-09,9000,Health,90550000,9.939260077
Balochistan,2014-15,11725.24,Education,10375000,113.0143133
Khyber Pakhtunkhwa,2014-15,26106.58,Education,27932000,93.46477159
Sindh,2014-15,360,Food,47351414,0.760272967
Punjab,2015-16,10725,Agriculture,101391000,10.57786194
Balochistan,2014-15,0,Food,10375000,0
Khyber Pakhtunkhwa,2014-15,501,Food,27932000,1.793641701
Sindh,2014-15,754.01,Information Technology,47351414,1.592376946
Balochistan,2014-15,148.8,Information Technology,10375000,1.434216867
Khyber Pakhtunkhwa,2014-15,224,Information Technology,27932000,0.801947587
Sindh,2014-15,13224.92,Health,47351414,27.92931168
Punjab,2016-17,12587,Livestock,103013000,12.21884617
Khyber Pakhtunkhwa,2014-15,11210.54,Health,27932000,40.13512817
Sindh,2014-15,313.2,Women's Development,47351414,0.661437481
Punjab,2009-10,12025,Health,92089000,13.05801996
Balochistan,2014-15,N.A,Women's Development,10375000,
Sindh,2014-15,125.56,Industries,47351414,0.265162092
Punjab,2009-10,12025,Health,92089000,13.05801996
Balochistan,2014-15,255,Industries,10375000,2.457831325
Khyber Pakhtunkhwa,2014-15,5077.21,Industries,27932000,18.17701919
Balochistan,2014-15,4382.44,Health,10375000,42.24034699
Punjab,2006-07,12480,Education,87548000,14.25503724
Balochistan,2014-15,283,Livestock,10375000,2.727749398
Punjab,2010-11,14500,Health,93682000,15.4778933
Khyber Pakhtunkhwa,2014-15,149,Auqaf and Religious Affairs,27932000,0.53343835
Sindh,2014-15,2070.67,Auqaf and Religious Affairs,47351414,4.372984511
Sindh,2014-15,266.4,Auqaf and Religious Affairs,47351414,0.562601995
Sindh,2015-16,4500,Agriculture,48677254,9.244564207
Punjab,2011-12,14800,Health,95153000,15.55389741
Balochistan,2015-16,4204.77,Agriculture,10740000,39.15054004
Khyber Pakhtunkhwa,2015-16,2467.83,Agriculture,28721000,8.592423662
Sindh,2015-16,10000,Education,48677254,20.54347601
Punjab,2012-13,16500,Health,96676000,17.06731764
Balochistan,2015-16,10196.88,Education,10740000,94.94300745
Khyber Pakhtunkhwa,2015-16,22178.45,Education,28721000,77.22032659
Sindh,2015-16,360,Food,48677254,0.739565137
Punjab,2013-14,17000,Health,98223000,17.30755526
Balochistan,2015-16,0,Food,10740000,0
Khyber Pakhtunkhwa,2015-16,501,Food,28721000,1.744368232
Sindh,2015-16,500,Information Technology,48677254,1.027173801
Balochistan,2015-16,268.36,Information Technology,10740000,2.498687151
Khyber Pakhtunkhwa,2015-16,224,Information Technology,28721000,0.779917134
Sindh,2015-16,13000,Health,48677254,26.70651882
Punjab,2007-08,21480,Education,89036000,24.125073
Khyber Pakhtunkhwa,2015-16,12432.59,Health,28721000,43.2874691
Sindh,2015-16,400,Women's Development,48677254,0.821739041
Punjab,2010-11,23300,Education,93682000,24.87137337
Balochistan,2015-16,8.69,Women's Development,10740000,0.080903166
Sindh,2015-16,2500,Industries,48677254,5.135869004
Punjab,2009-10,23125,Education,92089000,25.11157684
Balochistan,2015-16,100,Industries,10740000,0.931098696
Khyber Pakhtunkhwa,2015-16,4540.69,Industries,28721000,15.80963407
Balochistan,2015-16,3839.84,Health,10740000,35.75270019
Punjab,2011-12,23900,Education,95153000,25.11744243
Balochistan,2015-16,380.28,Livestock,10740000,3.540772812
Punjab,2012-13,25065,Education,96676000,25.92680707
Khyber Pakhtunkhwa,2015-16,222,Auqaf and Religious Affairs,28721000,0.772953588
Sindh,2015-16,260,Auqaf and Religious Affairs,48677254,0.534130376
Sindh,2016-17,5794,Agriculture,50040217,11.5786868
Punjab,2013-14,26890,Education,98223000,27.37648005
Balochistan,2016-17,3628.95,Agriculture,11045000,32.85605251
Khyber Pakhtunkhwa,2016-17,6201.93,Agriculture,29531000,21.00140869
Sindh,2016-17,17233,Education,50040217,34.4382999
Punjab,2015-16,30725,Health,101391000,30.30347861
Balochistan,2016-17,6651.26,Education,11045000,60.21961974
Khyber Pakhtunkhwa,2016-17,21699.47,Education,29531000,73.48030206
Sindh,2016-17,383,Food,50040217,0.765384371
Punjab,2014-15,31070,Health,99794000,31.13413632
Balochistan,2016-17,0,Food,11045000,0
Khyber Pakhtunkhwa,2016-17,732,Food,29531000,2.478751143
Balochistan,2016-17,274.5,Information Technology,11045000,2.48528746
Khyber Pakhtunkhwa,2016-17,180,Information Technology,29531000,0.60952897
Sindh,2016-17,14000,Health,50040217,27.97749658
Punjab,2008-09,30129,Education,90550000,33.27332965
Khyber Pakhtunkhwa,2016-17,17479.11,Health,29531000,59.18903525
Sindh,2016-17,426,Women's Development,50040217,0.851315253
Punjab,2016-17,43836,Education,103013000,42.55385243
Balochistan,2016-17,16.5,Women's Development,11045000,0.149388864
Sindh,2016-17,2829,Industries,50040217,5.653452702
Punjab,2016-17,45000,Health,103013000,43.6838069
Balochistan,2016-17,278.6,Industries,11045000,2.52240833
Khyber Pakhtunkhwa,2016-17,1975.01,Industries,29531000,6.687914395
Balochistan,2016-17,3620.91,Health,11045000,32.78326845
Punjab,2014-15,48310,Education,99794000,48.40972403
Balochistan,2016-17,199,Livestock,11045000,1.801720235
Punjab,2015-16,55564,Education,101391000,54.80170824
Khyber Pakhtunkhwa,2016-17,366,Auqaf and Religious Affairs,29531000,1.239375571
Sindh,2016-17,989.75,Auqaf and Religious Affairs,50040217,1.977917082
Sindh,2016-17,277,Auqaf and Religious Affairs,50040217,0.553554754
Khyber Pakhtunkhwa,2017-18,5289.81,Agriculture,35525000,14.89038987
Khyber Pakhtunkhwa,2017-18,27033.53,Education,35525000,76.09720479
Khyber Pakhtunkhwa,2017-18,732,Food,35525000,2.06052076
Khyber Pakhtunkhwa,2017-18,180,Information Technology,35525000,0.506685433
Khyber Pakhtunkhwa,2017-18,16474.71,Health,35525000,46.37497537
Khyber Pakhtunkhwa,2017-18,4010.56,Industries,35525000,11.28940183
Khyber Pakhtunkhwa,2017-18,620,Auqaf and Religious Affairs,35525000,1.745249824
Khyber Pakhtunkhwa,2018-19,3482.83,Agriculture,36628000,9.508651851
Khyber Pakhtunkhwa,2018-19,20956.61,Education,36628000,57.21473736
Khyber Pakhtunkhwa,2018-19,472,Food,36628000,1.288631648
Khyber Pakhtunkhwa,2018-19,145,Information Technology,36628000,0.39587201
Khyber Pakhtunkhwa,2018-19,11863.47,Health,36628000,32.38907666
Khyber Pakhtunkhwa,2018-19,1638.92,Industries,36628000,4.474494922
Khyber Pakhtunkhwa,2018-19,400,Auqaf and Religious Affairs,36628000,1.092060719
